product_name,brand,category,usage_frequency,price_usd,rating,number_of_reviews,product_size,skin_type,gender_target,packaging_type,main_ingredient,cruelty_free,country_of_origin,kategori_harga,rating_score,price_score,review_score,dss_score
super eyeliner,e.l.f.,eyeliner,occasional,28.72,2.6,4597,200ml,sensitive,unisex,stick,aloe vera,False,japan,murah,0.52,0.8662761625830416,0.456875753920386,0.6112579995589897
super blush,yves saint laurent,blush,weekly,110.51,4.2,2973,100ml,normal,male,stick,vitamin c,False,uk,mahal,0.8400000000000001,0.2820201442960212,0.2936268596702855,0.5633314152228636
magic primer,bourjois,primer,occasional,142.17,3.9,8901,50ml,oily,unisex,stick,salicylic acid,False,italy,mahal,0.78,0.05586113293806716,0.8895255327704061,0.5846634464355014
perfect mascara,rare beauty,mascara,weekly,97.15,1.2,764,100ml,normal,female,spray,salicylic acid,True,australia,sedang,0.24,0.37745553253803843,0.07157217531162043,0.24755109482373558
ultra concealer,perricone md,concealer,daily,110.12,2.3,1532,200ml,oily,male,compact,shea butter,False,germany,mahal,0.45999999999999996,0.2848060575755411,0.14877362283876155,0.3451965418404146
ultra face oil,laura mercier,face oil,monthly,13.9,3.6,262,100ml,dry,male,stick,aloe vera,True,usa,murah,0.72,0.9721408672048003,0.021109770808202654,0.6558642143230805
magic contour,kylie cosmetics,contour,occasional,107.38,4.9,5290,50ml,normal,male,spray,hyaluronic acid,False,australia,mahal,0.9800000000000001,0.3043788842060148,0.5265379975874548,0.6866212647792955
magic mascara,bourjois,mascara,daily,97.75,2.9,3341,30ml,combination,male,compact,vitamin c,False,uk,sedang,0.58,0.37316951210800775,0.3306192199437073,0.46807469762114373
super eye shadow,bourjois,eyeshadow,daily,57.24,2.5,7063,30ml,combination,female,jar,hyaluronic acid,True,italy,sedang,0.5,0.6625473248089149,0.7047647768395657,0.5897171528105877
ultra eyeliner,glossier,eyeliner,daily,94.09,2.5,9321,100ml,oily,unisex,spray,shea butter,True,france,sedang,0.5,0.39931423673119515,0.9317450743868114,0.5561432858967208
super bb cream,bobby brown,bb cream,occasional,22.93,4.0,8824,200ml,dry,unisex,stick,vitamin c,False,germany,murah,0.8,0.907636259732838,0.8817852834740652,0.8486479346146645
perfect concealer,becca,concealer,daily,38.7,3.5,1145,200ml,oily,male,stick,glycerin,True,uk,murah,0.7,0.794985356096864,0.1098713309207881,0.6104698730132169
magic setting spray,farsali,setting spray,daily,103.44,4.5,7547,150ml,combination,female,spray,shea butter,False,germany,mahal,0.9,0.3325237516965498,0.7534177724165662,0.7004406799922782
divine makeup remover,tatcha,makeup remover,weekly,84.37,2.4,3721,200ml,dry,unisex,stick,shea butter,True,france,sedang,0.48,0.46874776769769266,0.36881785283474067,0.4543879008762559
super bronzer,anastasia beverly hills,bronzer,weekly,143.23,4.8,2308,50ml,normal,unisex,stick,retinol,True,italy,mahal,0.96,0.048289163511679556,0.22677925211097708,0.5398425994756992
magic lipstick,rms beauty,lipstick,monthly,114.37,2.8,9401,30ml,normal,male,bottle,retinol,False,italy,mahal,0.5599999999999999,0.2544467461961569,0.9397868918375553,0.5442914022263581
divine contour,morphe,contour,monthly,108.92,3.6,8901,30ml,combination,unisex,compact,vitamin c,False,italy,mahal,0.72,0.2933780984356026,0.8895255327704061,0.625918536084762
ultra blush,rms beauty,blush,occasional,15.36,1.5,2461,150ml,combination,female,bottle,aloe vera,True,south korea,murah,0.3,0.9617115508250589,0.24215922798552472,0.4869453108446226
divine setting spray,rms beauty,setting spray,weekly,144.46,1.4,9314,30ml,oily,male,stick,hyaluronic acid,False,uk,mahal,0.27999999999999997,0.039502821630116425,0.9310414153598713,0.33805912956100914
divine setting spray,huda beauty,setting spray,occasional,53.25,3.6,6115,250ml,sensitive,male,spray,hyaluronic acid,False,germany,sedang,0.72,0.6910493606686192,0.6094692400482509,0.689208656210236
ultra makeup remover,pat mcgrath labs,makeup remover,occasional,39.87,3.0,7793,200ml,normal,female,spray,hyaluronic acid,True,france,murah,0.6,0.7866276162583041,0.7781463610776035,0.691617557093012
perfect eyeliner,sisley,eyeliner,weekly,17.32,2.6,1402,100ml,oily,female,bottle,glycerin,False,italy,murah,0.52,0.9477105507536252,0.13570566948130278,0.5714542991223481
super mascara,too faced,mascara,weekly,104.76,3.3,1435,100ml,combination,male,bottle,hyaluronic acid,False,uk,mahal,0.6599999999999999,0.32309450675048224,0.1390229191797346,0.45473293586109154
magic makeup remover,too faced,makeup remover,monthly,34.46,2.0,5485,150ml,oily,female,jar,retinol,True,italy,murah,0.4,0.8252732338024145,0.5461399276236429,0.5568099556654529
ultra face mask,tatcha,face mask,monthly,132.75,3.7,9541,50ml,oily,female,stick,aloe vera,False,italy,mahal,0.74,0.12315165368954928,0.9538600723763571,0.5977175105821362
perfect bb cream,fenty beauty,bb cream,daily,86.04,4.2,7546,150ml,sensitive,female,compact,shea butter,True,germany,sedang,0.8400000000000001,0.4568183441674405,0.7533172496984318,0.7077089531899186
perfect bb cream,natasha denona,bb cream,occasional,15.83,3.5,7966,100ml,oily,female,jar,shea butter,True,italy,murah,0.7,0.9583541681548682,0.7955367913148371,0.7966136087094278
magic lipstick,danessa myricks,lipstick,monthly,15.17,3.3,9458,100ml,sensitive,female,stick,salicylic acid,False,australia,murah,0.6599999999999999,0.963068790627902,0.9455166867712103,0.8080239745426125
divine concealer,perricone md,concealer,occasional,114.25,4.6,8534,150ml,oily,female,tube,vitamin c,True,france,mahal,0.9199999999999999,0.255303950282163,0.8526336952151187,0.7071179241276726
divine exfoliator,kylie cosmetics,exfoliator,occasional,72.78,3.9,1857,30ml,oily,female,tube,retinol,True,germany,sedang,0.78,0.5515393956711194,0.1814435062324085,0.5917505199478175
super contour,rare beauty,contour,occasional,114.03,1.0,9905,50ml,normal,female,jar,salicylic acid,False,japan,mahal,0.2,0.25687549110650765,0.9904503417772417,0.37515271568740066
divine contour,milk makeup,contour,daily,105.93,1.7,5581,30ml,dry,male,bottle,vitamin c,False,uk,mahal,0.33999999999999997,0.3147367669119223,0.5557901085645356,0.37557905178648376
ultra foundation,pat mcgrath labs,foundation,weekly,40.89,3.0,7249,200ml,dry,female,jar,hyaluronic acid,False,south korea,murah,0.6,0.779341381527252,0.7234620024125452,0.6784948149406846
divine face mask,clinique,face mask,daily,141.48,3.7,9189,150ml,normal,unisex,bottle,shea butter,True,germany,mahal,0.74,0.06079005643260249,0.9184760755930841,0.5719322320483976
divine concealer,anastasia beverly hills,concealer,monthly,109.61,1.7,506,250ml,oily,male,tube,glycerin,True,italy,mahal,0.33999999999999997,0.28844917494106725,0.04563731403297145,0.2656622152889144
super exfoliator,sisley,exfoliator,weekly,78.62,2.7,4829,150ml,normal,male,tube,hyaluronic acid,False,germany,sedang,0.54,0.5098221301521537,0.4801970245275432,0.5189860439511548
divine bb cream,kvd beauty,bb cream,occasional,101.67,2.3,52,30ml,oily,unisex,spray,vitamin c,False,uk,mahal,0.45999999999999996,0.3451675119651404,0.0,0.3335502535895421
perfect cleanser,farsali,cleanser,monthly,85.31,1.3,8316,30ml,combination,unisex,jar,glycerin,False,uk,sedang,0.26,0.46203300235731126,0.8307197426618416,0.43475384923956173
divine exfoliator,clinique,exfoliator,weekly,76.5,4.8,8962,150ml,sensitive,unisex,stick,shea butter,False,italy,sedang,0.96,0.5249660690049289,0.8956574185765983,0.8166213044167983
magic contour,natasha denona,contour,daily,129.66,3.3,7110,150ml,normal,female,spray,hyaluronic acid,False,italy,mahal,0.6599999999999999,0.14522465890420755,0.7094893445918777,0.5154652665896378
super lipstick,shiseido,lipstick,daily,42.77,4.9,6165,250ml,combination,male,stick,shea butter,True,japan,murah,0.9800000000000001,0.765911850846489,0.6144953759549658,0.84267263044494
magic eyeliner,milk makeup,eyeliner,occasional,97.68,1.3,7863,50ml,oily,female,compact,aloe vera,True,italy,sedang,0.26,0.37366954782484463,0.7851829513470044,0.39913745461685424
divine setting spray,bobby brown,setting spray,weekly,126.69,4.8,9525,200ml,oily,unisex,compact,vitamin c,True,france,mahal,0.96,0.1664404600328595,0.9522517088862082,0.7203824797870995
magic highlighter,it cosmetics,highlighter,occasional,141.34,4.9,9617,200ml,oily,female,jar,aloe vera,True,japan,mahal,0.9800000000000001,0.061790127866276245,0.9614997989545637,0.7008369981507957
ultra eye shadow,nars,eyeshadow,monthly,136.12,4.6,5489,100ml,normal,female,jar,shea butter,False,uk,mahal,0.9199999999999999,0.09907850560754339,0.5465420184961801,0.599031955381499
magic primer,clinique,primer,occasional,48.08,2.6,8445,200ml,combination,male,stick,shea butter,False,italy,murah,0.52,0.7279805700407171,0.843687173301166,0.6471316056724483
divine lip gloss,rare beauty,lip gloss,occasional,149.9,4.3,6185,200ml,normal,female,compact,hyaluronic acid,False,uk,mahal,0.86,0.0006429030645046518,0.6165058303176518,0.5534940369828818
super lip liner,becca,lipstick,monthly,89.22,2.5,8595,30ml,dry,female,compact,vitamin c,False,south korea,sedang,0.5,0.4341024358882778,0.8587655810213108,0.5519838469707455
divine cleanser,kvd beauty,cleanser,monthly,41.47,4.3,108,30ml,sensitive,female,tube,shea butter,False,south korea,murah,0.86,0.775198228444889,0.0056292722155207075,0.6636853229765708
super face mask,shiseido,face mask,daily,43.51,3.5,3246,50ml,dry,male,compact,glycerin,True,usa,murah,0.7,0.7606257589827845,0.3210695617209489,0.6424016400390251
super contour,nars,contour,daily,70.22,1.4,6921,100ml,dry,female,stick,vitamin c,True,germany,sedang,0.27999999999999997,0.5698264161725838,0.6904905508644954,0.4490460350246742
ultra serum,patrick ta,serum,weekly,108.06,3.5,1467,150ml,oily,male,spray,retinol,True,germany,mahal,0.7,0.2995213943853132,0.14223964616003218,0.4683043475476004
super primer,danessa myricks,primer,weekly,148.83,2.7,7034,50ml,normal,female,spray,aloe vera,False,australia,mahal,0.54,0.008286306164726032,0.7018496180136711,0.4128558154521521
divine setting spray,natasha denona,setting spray,weekly,22.51,3.6,8061,100ml,normal,male,bottle,hyaluronic acid,True,france,murah,0.72,0.9106364740338595,0.8050864495375954,0.7942082321176769
divine mascara,sisley,mascara,occasional,107.14,2.8,5333,30ml,oily,unisex,stick,shea butter,False,uk,mahal,0.5599999999999999,0.30609329237802707,0.5308604744672296,0.478000082606854
divine lip gloss,laura mercier,lip gloss,occasional,93.49,1.7,1959,250ml,sensitive,female,tube,retinol,True,australia,sedang,0.33999999999999997,0.40360025716122583,0.19169682348210695,0.3294194418447891
super blush,sisley,blush,occasional,57.93,3.2,7353,30ml,combination,unisex,spray,retinol,False,italy,sedang,0.64,0.6576184013143795,0.7339163650985122,0.6640687934140164
magic serum,huda beauty,serum,occasional,129.56,3.7,7580,150ml,normal,male,jar,vitamin c,False,france,mahal,0.74,0.14593899564254598,0.756735022114998,0.5651287031157634
ultra lip gloss,charlotte tilbury,lip gloss,weekly,39.63,3.4,4162,50ml,sensitive,female,compact,salicylic acid,True,usa,murah,0.6799999999999999,0.7883420244303164,0.4131483715319662,0.6591322816354881
divine face oil,urban decay,face oil,occasional,71.49,2.8,770,50ml,combination,unisex,tube,shea butter,True,japan,sedang,0.5599999999999999,0.5607543395956855,0.07217531162042622,0.46266136420279086
ultra setting spray,it cosmetics,setting spray,daily,62.75,3.1,2901,150ml,sensitive,female,compact,retinol,True,france,sedang,0.62,0.6231873705264662,0.286389223964616,0.5542340559508631
ultra lip liner,bobby brown,lipstick,monthly,88.28,3.1,159,50ml,sensitive,unisex,stick,vitamin c,False,japan,sedang,0.62,0.4408172012286592,0.010755930840369923,0.4443963465366717
magic cleanser,nars,cleanser,daily,94.71,3.9,5860,200ml,combination,female,compact,vitamin c,False,germany,sedang,0.78,0.3948853489534968,0.5838359469240049,0.6252327940708501
magic serum,morphe,serum,occasional,63.46,4.2,2493,150ml,oily,unisex,jar,retinol,True,south korea,sedang,0.8400000000000001,0.6181155796842632,0.24537595496582226,0.6545098648984434
ultra bb cream,kvd beauty,bb cream,weekly,117.39,3.6,709,250ml,combination,male,jar,glycerin,False,usa,mahal,0.72,0.23287377669833564,0.06604342581423402,0.44307081817234745
magic lipstick,tatcha,lipstick,weekly,53.38,1.7,2607,50ml,combination,unisex,jar,shea butter,True,australia,sedang,0.33999999999999997,0.6901207229087791,0.2568355448331323,0.4284033258392602
ultra exfoliator,bite beauty,exfoliator,daily,71.22,1.5,6782,150ml,dry,male,stick,hyaluronic acid,True,south korea,sedang,0.3,0.5626830487891993,0.6765178930438279,0.4541084932455254
divine serum,charlotte tilbury,serum,monthly,26.05,4.4,8170,250ml,combination,male,tube,retinol,True,italy,murah,0.8800000000000001,0.8853489534966783,0.8160434258142341,0.8688133712118503
perfect concealer,kiehl’s,concealer,weekly,136.41,1.3,7205,200ml,oily,female,bottle,aloe vera,False,south korea,mahal,0.26,0.09700692906636199,0.7190390028146361,0.30290987928283586
super powder,nars,powder,daily,97.91,2.2,7774,200ml,oily,male,stick,aloe vera,False,uk,sedang,0.44000000000000006,0.3720265733266662,0.7762364294330518,0.48685525788461026
divine mascara,bourjois,mascara,occasional,148.59,2.0,3949,250ml,normal,male,bottle,retinol,True,italy,mahal,0.4,0.010000714336738326,0.39173703256936065,0.2813476208148936
ultra face oil,tarte,face oil,daily,22.49,3.5,9078,30ml,sensitive,male,compact,retinol,False,italy,murah,0.7,0.9107793413815273,0.907318053880177,0.8046974131904936
perfect lipstick,bourjois,lipstick,weekly,83.7,1.5,7243,30ml,oily,unisex,tube,salicylic acid,True,australia,sedang,0.3,0.47353382384456033,0.7228588661037394,0.43663192037411597
divine primer,bite beauty,primer,daily,145.44,2.1,2793,150ml,sensitive,unisex,jar,glycerin,True,japan,mahal,0.42000000000000004,0.0325023215943997,0.2755327704061118,0.2748572505595423
super contour,sisley,contour,occasional,128.12,2.9,2377,250ml,combination,unisex,spray,hyaluronic acid,False,japan,mahal,0.58,0.15622544467461963,0.23371531966224365,0.38361069733483455
magic eye shadow,fenty beauty,eyeshadow,monthly,122.23,2.4,5600,30ml,combination,female,bottle,shea butter,False,south korea,mahal,0.48,0.19829987856275455,0.5577000402090873,0.4110299716106438
divine highlighter,farsali,highlighter,weekly,119.67,4.4,9166,150ml,sensitive,male,tube,retinol,True,italy,mahal,0.8800000000000001,0.2165868990642189,0.9161640530759951,0.6882088803344648
ultra powder,clinique,powder,occasional,92.43,1.7,2230,250ml,combination,male,jar,vitamin c,False,australia,sedang,0.33999999999999997,0.41117222658761343,0.2189384800965018,0.33713936399558436
ultra powder,it cosmetics,powder,monthly,69.14,4.6,6584,200ml,combination,male,spray,hyaluronic acid,True,usa,sedang,0.9199999999999999,0.577541252946639,0.6566143948532368,0.764585254854639
ultra powder,bite beauty,powder,monthly,29.6,3.4,8832,50ml,sensitive,female,jar,glycerin,False,japan,murah,0.6799999999999999,0.8599899992856632,0.8825894652191395,0.7745148928295268
divine primer,colourpop,primer,daily,67.61,2.4,425,250ml,sensitive,male,spray,retinol,True,usa,sedang,0.48,0.5884706050432174,0.037494973864093284,0.42404017628578383
perfect cleanser,juvia’s place,cleanser,daily,86.18,4.9,3436,150ml,normal,female,spray,glycerin,False,australia,sedang,0.9800000000000001,0.45581827273376674,0.3401688781664656,0.6947792574534233
super makeup remover,milk makeup,makeup remover,daily,55.52,1.2,5117,100ml,dry,male,tube,glycerin,True,usa,sedang,0.24,0.6748339167083364,0.5091475673502212,0.42427968848254516
perfect setting spray,pat mcgrath labs,setting spray,weekly,142.14,3.3,4548,150ml,normal,female,compact,shea butter,False,germany,mahal,0.6599999999999999,0.05607543395956871,0.4519501407318054,0.4372126583342317
magic eyeliner,shiseido,eyeliner,weekly,149.16,4.4,6158,50ml,sensitive,female,jar,shea butter,True,usa,mahal,0.8800000000000001,0.005928994928209197,0.6137917169280257,0.564537041864068
divine cleanser,sisley,cleanser,occasional,52.89,3.0,9595,150ml,sensitive,female,stick,aloe vera,False,australia,sedang,0.6,0.6936209729266376,0.9592882991556092,0.699943951709113
ultra powder,patrick ta,powder,weekly,94.96,1.0,9200,30ml,combination,unisex,stick,retinol,True,australia,sedang,0.2,0.3930995071076506,0.9195818254925613,0.4018462172308075
divine lip gloss,farsali,lip gloss,monthly,143.49,2.6,8066,100ml,sensitive,male,stick,vitamin c,True,uk,mahal,0.52,0.04643188799199938,0.805589063128267,0.4350473790232532
perfect lip liner,huda beauty,lipstick,weekly,62.28,3.7,7809,150ml,dry,male,jar,glycerin,False,uk,sedang,0.74,0.6265447531966569,0.7797547245677523,0.7139143708725475
perfect eye shadow,natasha denona,eyeshadow,daily,149.85,1.8,7547,200ml,combination,female,bottle,shea butter,True,usa,mahal,0.36,0.0010000714336739769,0.7534177724165662,0.33098357591341543
super lip gloss,patrick ta,lip gloss,weekly,83.63,4.8,3968,30ml,sensitive,male,spray,aloe vera,False,uk,sedang,0.96,0.4740338595613973,0.3936469642139123,0.7009395507112016
